	mass A		
t	x	y	
0.000	15.59	-104.3
0.033	16.18	-103.1
0.067	15.01	-104.8
0.100	16.76	-103.1
0.133	12.67	-100.7
0.167	12.08	-97.24
0.200	7.406	-95.48
0.233	12.08	-91.97
0.267	12.67	-86.71
0.300	20.27	-72.68
0.333	30.79	-65.08
0.367	40.15	-55.14
0.400	53.01	-39.94
0.433	66.46	-34.09
0.467	79.32	-27.08
0.500	101.0	-21.23
0.533	116.2	-20.06
0.567	132.5	-21.23
0.600	162.3	-25.32
0.633	180.5	-28.25
0.667	209.7	-30.00
0.700	229.0	-27.08
0.733	241.3	-22.40
0.767	250.6	-11.29
0.800	250.0	-3.106
0.833	245.9	2.741
0.867	231.3	7.418
0.900	217.9	7.418
