	mass A		
t	x	y	
0.000	11.50	-102.5
0.033	10.33	-101.3
0.067	9.744	-105.4
0.100	10.33	-101.9
0.133	10.33	-101.9
0.167	9.744	-102.5
0.200	9.744	-102.5
0.233	7.406	-105.4
0.267	7.406	-104.8
0.300	7.406	-100.7
0.333	9.744	-102.5
0.367	12.67	-100.2
0.400	15.59	-96.07
0.433	19.10	-96.65
0.467	22.02	-97.82
0.500	30.21	-100.7
0.533	35.47	-102.5
0.567	46.58	-100.7
0.600	53.59	-100.7
0.633	65.87	-103.1
0.667	76.98	-102.5
0.700	83.41	-101.9
0.733	94.52	-99.57
0.767	99.20	-98.99
0.800	106.8	-94.31
0.833	114.4	-90.80
0.867	116.2	-91.97
0.900	112.1	-88.47
0.933	112.1	-87.88
